MonthYear,country_code,country_name,GPI_score,gpi_predicted
201501,AE,United Arab Emirates,1.767,1.7202182361111102
201502,AE,United Arab Emirates,1.768333333333333,1.73875107222222
201503,AE,United Arab Emirates,1.7696666666666665,1.73777826944444
201504,AE,United Arab Emirates,1.771,1.74850899444444
201505,AE,United Arab Emirates,1.772333333333333,1.75192215
201506,AE,United Arab Emirates,1.7736666666666665,1.75903776111111
201507,AE,United Arab Emirates,1.775,1.75931035833333
201508,AE,United Arab Emirates,1.776333333333333,1.7578541361111102
201509,AE,United Arab Emirates,1.7776666666666665,1.76755285
201510,AE,United Arab Emirates,1.7790000000000001,1.76733305277778
201511,AE,United Arab Emirates,1.780333333333333,1.76836829722222
201512,AE,United Arab Emirates,1.7816666666666665,1.7701620611111102
201601,AE,United Arab Emirates,1.7830000000000001,1.7708544444444498
201602,AE,United Arab Emirates,1.7913333333333332,1.769537025
201603,AE,United Arab Emirates,1.7996666666666663,1.7682449
201604,AE,United Arab Emirates,1.808,1.7723611638888899
201605,AE,United Arab Emirates,1.8163333333333331,1.7778986861111101
201606,AE,United Arab Emirates,1.8246666666666669,1.77832064166667
201607,AE,United Arab Emirates,1.8330000000000002,1.75083865555556
201608,AE,United Arab Emirates,1.8413333333333333,1.79204401944444
201609,AE,United Arab Emirates,1.8496666666666663,1.78920068055556
201610,AE,United Arab Emirates,1.858,1.79255177222222
201611,AE,United Arab Emirates,1.8663333333333332,1.7895121333333301
201612,AE,United Arab Emirates,1.8746666666666667,1.7943605611111102
201701,AE,United Arab Emirates,1.883,1.81127474444444
201702,AE,United Arab Emirates,1.8774166666666667,1.81129454722222
201703,AE,United Arab Emirates,1.8718333333333332,1.8029721388888897
201704,AE,United Arab Emirates,1.86625,1.7931400555555599
201705,AE,United Arab Emirates,1.8606666666666667,1.81313465555555
201706,AE,United Arab Emirates,1.8550833333333332,1.8322165083333302
201707,AE,United Arab Emirates,1.8495,1.8202286305555502
201708,AE,United Arab Emirates,1.8439166666666664,1.8028740694444498
201709,AE,United Arab Emirates,1.8383333333333332,1.81417426944444
201710,AE,United Arab Emirates,1.83275,1.81900663055556
201711,AE,United Arab Emirates,1.8271666666666668,1.83136848611112
201712,AE,United Arab Emirates,1.821583333333333,1.81770832222222
201801,AE,United Arab Emirates,1.8159999999999998,1.81920791388889
201802,AE,United Arab Emirates,1.8185833333333332,1.83101998055556
201803,AE,United Arab Emirates,1.8211666666666664,1.83136455
201804,AE,United Arab Emirates,1.82375,1.81635626666667
201805,AE,United Arab Emirates,1.8263333333333331,1.8258815888888897
201806,AE,United Arab Emirates,1.8289166666666667,1.8181951944444499
201807,AE,United Arab Emirates,1.8315,1.8188412
201808,AE,United Arab Emirates,1.8340833333333333,1.82118605555556
201809,AE,United Arab Emirates,1.836666666666667,1.81715091944444
201810,AE,United Arab Emirates,1.83925,1.8202883583333302
201811,AE,United Arab Emirates,1.8418333333333328,1.8280181444444499
201812,AE,United Arab Emirates,1.8444166666666664,1.82756636388889
201901,AE,United Arab Emirates,1.847,1.8254619388888897
201307,TS,Tunisia,2.0915,2.09150091388889
201308,TS,Tunisia,2.0890833333333334,2.08266287777778
201309,TS,Tunisia,2.0866666666666664,2.08780094444444
201310,TS,Tunisia,2.08425,2.09554487777778
201311,TS,Tunisia,2.081833333333333,1.9685145
201312,TS,Tunisia,2.0794166666666665,2.05027477777778
201401,TS,Tunisia,2.077,2.0617845611111103
201402,TS,Tunisia,2.070333333333333,2.04103788055556
201403,TS,Tunisia,2.0636666666666668,2.03044884722222
201404,TS,Tunisia,2.057,2.072664825
201405,TS,Tunisia,2.0503333333333336,2.06068053888889
201406,TS,Tunisia,2.0436666666666667,2.008340775
201407,TS,Tunisia,2.037,2.071793425
201408,TS,Tunisia,2.030333333333333,1.9361959111111102
201409,TS,Tunisia,2.0236666666666667,2.03666325833334
201410,TS,Tunisia,2.017,2.06438685277778
201411,TS,Tunisia,2.010333333333333,2.04651725833334
201412,TS,Tunisia,2.0036666666666667,2.0570984583333303
201501,TS,Tunisia,1.9969999999999999,2.05292664166667
201502,TS,Tunisia,1.993,2.042155725
201503,TS,Tunisia,1.989,2.02392927777778
201504,TS,Tunisia,1.985,2.0106699
201505,TS,Tunisia,1.9809999999999999,1.99739901944444
201506,TS,Tunisia,1.9769999999999999,1.9859497388888898
201507,TS,Tunisia,1.973,1.97685307222222
201508,TS,Tunisia,1.969,2.00104407777778
201509,TS,Tunisia,1.965,2.0118705861111104
201510,TS,Tunisia,1.9609999999999999,2.01239105277778
201511,TS,Tunisia,1.9569999999999999,1.98894966388889
201512,TS,Tunisia,1.953,1.9880900055555502
201601,TS,Tunisia,1.949,1.9867074833333302
201602,TS,Tunisia,1.95125,1.97407239444444
201603,TS,Tunisia,1.9535,1.96619365277778
201604,TS,Tunisia,1.95575,1.97887712222222
201605,TS,Tunisia,1.9580000000000002,1.97217967222222
201606,TS,Tunisia,1.96025,1.96990535277778
201607,TS,Tunisia,1.9625,1.9697006333333302
201608,TS,Tunisia,1.96475,1.9697753194444498
201609,TS,Tunisia,1.9669999999999999,1.9573032833333301
201610,TS,Tunisia,1.96925,1.9792541083333302
201611,TS,Tunisia,1.9715,1.93298827222222
201612,TS,Tunisia,1.97375,1.97203789444444
201701,TS,Tunisia,1.976,1.9698784583333302
201702,TS,Tunisia,1.9780000000000002,1.97150332222222
201703,TS,Tunisia,1.98,1.96988048611111
201704,TS,Tunisia,1.982,1.9774082027777702
201705,TS,Tunisia,1.984,1.9670455583333302
201706,TS,Tunisia,1.986,1.954983025
201707,TS,Tunisia,1.9880000000000002,1.9597038416666699
201708,TS,Tunisia,1.99,1.95705619444444
201709,TS,Tunisia,1.992,1.98286746666667
201710,TS,Tunisia,1.994,1.97924148611111
201711,TS,Tunisia,1.996,1.9672337916666698
201712,TS,Tunisia,1.9980000000000002,1.9927086583333302
201801,TS,Tunisia,2.0,1.971362525
201802,TS,Tunisia,2.0029166666666667,1.9658096361111101
201803,TS,Tunisia,2.0058333333333334,1.96009881944444
201804,TS,Tunisia,2.00875,1.9623008999999998
201805,TS,Tunisia,2.0116666666666667,1.9899389583333302
201806,TS,Tunisia,2.0145833333333334,1.9883801083333301
